KO	Pathways	Modules
K04441	ko05120,ko05142,ko05140,ko05145,ko04380,ko04068,ko05418,ko04657,ko04658,ko04659,ko04670,ko04750,ko05132,ko04261,ko04933,ko04611,ko05014,ko04912,ko05152,ko05205,ko04917,ko05133,ko04914,ko04071,ko04015,ko04139,ko04013,ko04010,ko04011,ko05131,ko04550,ko04668,ko04664,ko04660,ko05164,ko04728,ko05160,ko04370,ko04621,ko04620,ko04212,ko04622,ko05169,ko04624,ko04722,ko04723	M00689
K01120	ko00230	NA
K01127	ko00563	NA
K01126	ko00564	NA
K04445	ko04668,ko04261,ko04010,ko04713,ko05206,ko04722,ko05219	NA
K04444	ko04010,ko04370	NA
K17322	ko02010	M00607
K01129	ko00230	NA
K04448	ko05120,ko05164,ko05323,ko05142,ko05321,ko05140,ko05169,ko04380,ko05418,ko04657,ko04658,ko04659,ko04024,ko05166,ko04933,ko04932,ko05231,ko05211,ko05210,ko05031,ko05030,ko04912,ko05132,ko05133,ko04915,ko04210,ko04012,ko04013,ko04010,ko04137,ko04310,ko05224,ko04668,ko05200,ko05168,ko04660,ko04662,ko04530,ko04921,ko05161,ko04510,ko04621,ko04620,ko04214,ko04624,ko04722,ko05203	NA
K04339	ko00521	NA
K17323	ko02010	M00607
K05310	ko00563	NA
K02471	ko02010	NA
K02472	ko00520,ko05111	NA
K02473	ko00520	NA
K02474	ko00520	NA
K18941	ko02020	M00717,M00716
K17453	ko04910	NA
K13072	ko04672,ko04062,ko04060	NA
K13073	ko04672	NA
K03879	ko05012,ko04723,ko00190	M00142
K13071	ko00860	NA
K13077	ko00941,ko00943	NA
K13075	ko02024	NA
K03873	ko04120,ko05200,ko04066,ko05211	M00383,M00388
K03872	ko04120,ko05200,ko04066,ko05211	M00383,M00388
K13078	ko00941	NA
K13079	ko00941	NA
K03877	ko00603,ko00601	M00070
K03876	ko04120	NA
K03875	ko05222,ko05169,ko04150,ko04110,ko04120,ko04068,ko05200,ko05168,ko05203	M00381
K06823	ko04974	NA
K17329	ko02010	M00606
K11112	NA	M00424
K11111	NA	M00424
K11440	ko00260	M00555
K13298	ko05032,ko00230	NA
K13299	ko05204,ko00480,ko04146,ko00980,ko00982	NA
K13296	ko04024,ko00230,ko04924,ko04910,ko04022,ko04914,ko04922,ko04923,ko04371,ko05032	NA
K13294	ko00230	NA
K13293	ko04024,ko05032,ko00230	NA
K04542	ko05034,ko05032,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K11449	ko05202	NA
K04543	ko05034,ko05032,ko04740,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K03259	ko04910,ko04151,ko04150,ko04066,ko03013,ko04211	M00428
K03258	ko03013,ko05205,ko04151,ko04150	NA
K03257	ko03013	M00428
K03254	ko03013	NA
K03253	ko03013	NA
K03252	ko03013	NA
K03251	ko03013	NA
K03250	ko03013,ko05160	NA
K03200	ko03070	M00333
K04540	ko05034,ko05032,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K08692	ko00630,ko00680	M00346
K08693	ko00240,ko00760,ko00230	NA
K08690	ko00621	M00543
K08691	ko00720,ko00660,ko00630,ko00680	M00346,M00376,M00373
K18378	NA	M00660
K08694	ko04914,ko04114	NA
K08695	ko00941	NA
K04541	ko05034,ko05032,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K11742	NA	M00711
K11743	NA	M00711
K13920	ko00640	NA
K13921	ko00640	NA
K13922	ko00640	NA
K13923	ko00640	NA
K13924	ko02030,ko02020	M00506
K13925	ko05100	NA
K13927	ko02020	NA
K03202	ko03070	M00333
K06751	ko05416,ko04940,ko05166,ko04144,ko04145,ko05332,ko05320,ko05330,ko04514,ko05169,ko05168,ko04612,ko05203	NA
K06753	ko04360	NA
